名称,评分,评价人数,导演,主演,上映日期,类型,简介
肖申克的救赎,9.7,3139050,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,犯罪 剧情,希望让人自由。
霸王别姬,9.6,2316032,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,剧情 爱情 同性,风华绝代。
泰坦尼克号,9.5,2379372,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,剧情 爱情 灾难,失去的才是永恒的。 
阿甘正传,9.5,2333848,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,剧情 爱情,一部美国近现代史。
千与千寻,9.4,2425065,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 
美丽人生,9.5,1423673,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,剧情 喜剧 爱情 战争,最美的谎言。
这个杀手不太冷,9.4,2466512,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。
星际穿越,9.4,2054168,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,9.4,2229928,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。
楚门的世界,9.4,1909042,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,9.5,1202463,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,剧情 历史 战争,拯救一个人，就是拯救整个世界。
